topic,topic_link,articleNum,topicClicks,good,bad,article_title,article_link,online_dt,articleClicks,articleCollect,articleLike
AI 产品经理入门手册,http://www.woshipm.com/topic/ai,19,36020,437,19,AI产品经理入门手册（下）,http://www.woshipm.com/pmd/1510018.html,2018-10-15,40000.0,255,108
AI 产品经理入门手册,http://www.woshipm.com/topic/ai,19,36020,437,19,AI产品经理入门手册（上）,http://www.woshipm.com/pmd/1501194.html,2018-10-13,106000.0,453,201
AI 产品经理入门手册,http://www.woshipm.com/topic/ai,19,36020,437,19,AI产品经理，如何面对数据挖掘？,http://www.woshipm.com/pmd/1349778.html,2018-09-03,25000.0,86,21
AI 产品经理入门手册,http://www.woshipm.com/topic/ai,19,36020,437,19,实战分享｜作为AI小白，如何争取AI产品经理offer,http://www.woshipm.com/pmd/1078932.html,2018-07-02,30000.0,285,62
AI 产品经理入门手册,http://www.woshipm.com/topic/ai,19,36020,437,19,AI产品经理需了解的技术知识：语音识别技术（1）,http://www.woshipm.com/ai/1055549.html,2018-06-19,11000.0,105,13
AI 产品经理入门手册,http://www.woshipm.com/topic/ai,19,36020,437,19,成为AI产品经理之前，可以先读下这篇文章,http://www.woshipm.com/ai/1043591.html,2018-05-30,42000.0,291,100
AI 产品经理入门手册,http://www.woshipm.com/topic/ai,19,36020,437,19,入行AI产品经理，持续增强的学习方法,http://www.woshipm.com/pmd/1027908.html,2018-05-16,20000.0,87,24
AI 产品经理入门手册,http://www.woshipm.com/topic/ai,19,36020,437,19,系统总结：AI产品经理知识体系,http://www.woshipm.com/pmd/922612.html,2018-01-26,13000.0,201,23
AI 产品经理入门手册,http://www.woshipm.com/topic/ai,19,36020,437,19,AI产品经理的必修课：系统化思维,http://www.woshipm.com/pmd/900264.html,2018-01-09,19000.0,164,34
AI 产品经理入门手册,http://www.woshipm.com/topic/ai,19,36020,437,19,人脸识别：AI产品经理需要了解的CV通识,http://www.woshipm.com/pd/900422.html,2018-01-08,25000.0,163,13
AI 产品经理入门手册,http://www.woshipm.com/topic/ai,19,36020,437,19,To B产品经理转型AI产品经理的方法,http://www.woshipm.com/pmd/873316.html,2017-12-11,16000.0,264,41
AI 产品经理入门手册,http://www.woshipm.com/topic/ai,19,36020,437,19,转型AI产品经理需要掌握的硬知识（一）：AI产品经理能力模型和常见AI概念梳理,http://www.woshipm.com/pd/873240.html,2017-12-11,19000.0,257,29
AI 产品经理入门手册,http://www.woshipm.com/topic/ai,19,36020,437,19,转型AI产品经理：这是我的3周学习小结,http://www.woshipm.com/pmd/869289.html,2017-12-07,58000.0,881,168
