topic_link,good,bad,article_title,article_link,article_perf,online_dt
http://www.woshipm.com/topic/ai,437,19,AI产品经理入门手册（下）,http://www.woshipm.com/pmd/1510018.html,4万                255                    108,2018/10/15
http://www.woshipm.com/topic/ai,437,19,AI产品经理入门手册（上）,http://www.woshipm.com/pmd/1501194.html,10.6万                453                    201,2018/10/13
http://www.woshipm.com/topic/ai,437,19,AI产品经理，如何面对数据挖掘？,http://www.woshipm.com/pmd/1349778.html,2.5万                86                    21,2018/09/03
http://www.woshipm.com/topic/ai,437,19,实战分享｜作为AI小白，如何争取AI产品经理offer,http://www.woshipm.com/pmd/1078932.html,3万                285                    62,2018/07/02
http://www.woshipm.com/topic/ai,437,19,AI产品经理需了解的技术知识：语音识别技术（1）,http://www.woshipm.com/ai/1055549.html,1.1万                105                    13,2018/06/19
http://www.woshipm.com/topic/ai,437,19,成为AI产品经理之前，可以先读下这篇文章,http://www.woshipm.com/ai/1043591.html,4.2万                291                    100,2018/05/30
http://www.woshipm.com/topic/ai,437,19,入行AI产品经理，持续增强的学习方法,http://www.woshipm.com/pmd/1027908.html,2万                87                    24,2018/05/16
http://www.woshipm.com/topic/ai,437,19,系统总结：AI产品经理知识体系,http://www.woshipm.com/pmd/922612.html,1.3万                201                    23,2018/01/26
http://www.woshipm.com/topic/ai,437,19,AI产品经理的必修课：系统化思维,http://www.woshipm.com/pmd/900264.html,1.9万                164                    34,2018/01/09
http://www.woshipm.com/topic/ai,437,19,人脸识别：AI产品经理需要了解的CV通识,http://www.woshipm.com/pd/900422.html,2.5万                163                    13,2018/01/08
http://www.woshipm.com/topic/ai,437,19,To B产品经理转型AI产品经理的方法,http://www.woshipm.com/pmd/873316.html,1.6万                264                    41,2017/12/11
http://www.woshipm.com/topic/ai,437,19,转型AI产品经理需要掌握的硬知识（一）：AI产品经理能力模型和常见AI概念梳理,http://www.woshipm.com/pd/873240.html,1.9万                257                    29,2017/12/11
http://www.woshipm.com/topic/ai,437,19,转型AI产品经理：这是我的3周学习小结,http://www.woshipm.com/pmd/869289.html,5.8万                881                    168,2017/12/07
http://www.woshipm.com/topic/ai,437,19,转型AI产品经理，原来不需要学那么深的算法和数学模型,http://www.woshipm.com/pmd/865421.html,3万                321                    81,2017/12/04
http://www.woshipm.com/topic/ai,437,19,AI产品经理需要了解的语音交互评价指标,http://www.woshipm.com/it/855004.html,1.8万                150                    16,2017/11/24
http://www.woshipm.com/topic/ai,437,19,AI产品经理需要了解的数据标注工作入门,http://www.woshipm.com/pmd/796176.html,3.4万                229                    32,2017/09/22
http://www.woshipm.com/topic/ai,437,19,AI产品经理的价值和未来｜学习俞军老师分享有感,http://www.woshipm.com/pmd/703205.html,1.8万                139                    22,2017/06/28
http://www.woshipm.com/topic/ai,437,19,福利 | 《从互联网产品经理到AI产品经理》PPT下载及讲解（58P）,http://www.woshipm.com/pmd/683548.html,4.4万                335                    57,2017/06/07
http://www.woshipm.com/topic/ai,437,19,【重磅福利】人工智能产品经理的新起点（200页PPT免费下载）,http://www.woshipm.com/pmd/638125.html,6.9万                496                    89,2017/04/15
http://www.woshipm.com/topic/app-2,285,10,APP界面设计中的趋同化：近期看来是有益的,http://www.woshipm.com/ucd/1468208.html,3.6万                81                    40,2018/10/07
http://www.woshipm.com/topic/app-2,285,10,简单易用的产品设计方法论：以APP设计为例,http://www.woshipm.com/pd/1269161.html,3.4万                201                    86,2018/08/27
http://www.woshipm.com/topic/app-2,285,10,APP设计在iOS和Android操作系统中的差异,http://www.woshipm.com/ucd/1249245.html,2.9万                181                    32,2018/08/14
http://www.woshipm.com/topic/app-2,285,10,总结：APP走心设计的小思考,http://www.woshipm.com/pd/1096833.html,2.9万                216                    55,2018/07/11
http://www.woshipm.com/topic/app-2,285,10,案例分析：3种用户场景对APP评论模块设计的影响,http://www.woshipm.com/pd/1015852.html,8396                61                    18,2018/05/08
http://www.woshipm.com/topic/app-2,285,10,1.0版App如何做全局产品设计,http://www.woshipm.com/pd/824254.html,2.9万                423                    96,2018/05/05
http://www.woshipm.com/topic/app-2,285,10,App网络相关设计总结,http://www.woshipm.com/pd/986639.html,1.3万                143                    29,2018/04/11
http://www.woshipm.com/topic/app-2,285,10,APP授权设计：如何让用户不反感并同意授权,http://www.woshipm.com/pd/976417.html,2.7万                230                    102,2018/04/02
http://www.woshipm.com/topic/app-2,285,10,不同属性的APP评论区的区别：从三个方面来说,http://www.woshipm.com/ucd/962405.html,1.1万                89                    17,2018/03/23
http://www.woshipm.com/topic/app-2,285,10,对齐在APP中不易被察觉的3点,http://www.woshipm.com/ucd/963331.html,1万                49                    14,2018/03/17
http://www.woshipm.com/topic/app-2,285,10,从零开始，带你掌握空状态设计的正确方法,http://www.woshipm.com/ucd/948632.html,1.5万                195                    50,2018/03/09
http://www.woshipm.com/topic/app-2,285,10,一款APP设计的从0到1之：Android设计规范篇,http://www.woshipm.com/ucd/895045.html,3.7万                393                    54,2018/01/09
http://www.woshipm.com/topic/app-2,285,10,基础篇｜网易设计师教你如何系统地优化APP,http://www.woshipm.com/ucd/885472.html,2万                327                    71,2017/12/24
http://www.woshipm.com/topic/app-2,285,10,一款APP设计的从0到1之：iOS篇（精华版）,http://www.woshipm.com/ucd/868764.html,3.5万                461                    100,2017/12/06
http://www.woshipm.com/topic/app-2,285,10,APP设计篇：如何让你的设计更精致？,http://www.woshipm.com/pd/848842.html,1.7万                148                    33,2017/11/16
http://www.woshipm.com/topic/app-2,285,10,详解APP设计中的微妙细节,http://www.woshipm.com/ucd/828439.html,2.3万                444                    93,2017/10/26
http://www.woshipm.com/topic/app-2,285,10,从3个分类出发，深入研究App加载动画,http://www.woshipm.com/pd/814242.html,1.4万                144                    19,2017/10/13
http://www.woshipm.com/topic/app-2,285,10,APP导航设计模式与信息布局设计模式,http://www.woshipm.com/pd/753879.html,2万                248                    45,2017/08/17
http://www.woshipm.com/topic/app-2,285,10,浅析APP设计：掌握市场截图设计原则,http://www.woshipm.com/pd/754854.html,1.5万                108                    24,2017/08/16
http://www.woshipm.com/topic/app-2,285,10,特殊情况下的APP设计（3）：如何处理加载页面？,http://www.woshipm.com/pd/708231.html,1.7万                179                    37,2017/07/04
http://www.woshipm.com/topic/app-2,285,10,特殊情况下的APP设计（2）：启动页面设计,http://www.woshipm.com/pd/707196.html,1.7万                156                    27,2017/07/03
http://www.woshipm.com/topic/app-2,285,10,特殊情况下的APP设计（1）：注册登录页设计,http://www.woshipm.com/pd/702279.html,2.1万                260                    47,2017/06/27
http://www.woshipm.com/topic/app-2,285,10,为什么你爱用的 App，都用卡片式设计？,http://www.woshipm.com/ucd/623755.html,3.1万                230                    48,2017/03/30
http://www.woshipm.com/topic/app-2,285,10,APP设计：那些打动人心的设计点（4）,http://www.woshipm.com/ucd/622250.html,1.5万                227                    44,2017/03/30
http://www.woshipm.com/topic/app-2,285,10,APP设计：那些打动人心的设计点（3）,http://www.woshipm.com/pd/618650.html,1.7万                162                    26,2017/03/27
http://www.woshipm.com/topic/app-2,285,10,APP设计：那些打动人心的设计点（二）,http://www.woshipm.com/ucd/609817.html,1.8万                178                    29,2017/03/17
http://www.woshipm.com/topic/app-2,285,10,APP设计：那些打动人心的设计点（一）,http://www.woshipm.com/ucd/590912.html,3.1万                332                    85,2017/02/27
http://www.woshipm.com/topic/app,439,23,电商APP运营：商品详情页的转化率要怎么提高？,http://www.woshipm.com/operate/624746.html,8万                321                    73,2017/04/03
http://www.woshipm.com/topic/app,439,23,APP运营：8大法则，助你快速找到推广捷径,http://www.woshipm.com/operate/616316.html,5.6万                262                    46,2017/03/23
http://www.woshipm.com/topic/app,439,23,APP运营：如何构建APP消息通知策略？,http://www.woshipm.com/operate/579756.html,3.9万                228                    45,2017/01/25
http://www.woshipm.com/topic/app,439,23,运营干货：移动金融App运营各阶段该关注的11个指标,http://www.woshipm.com/operate/578325.html,3.8万                270                    44,2017/01/20
http://www.woshipm.com/topic/app,439,23,史上最全最详细的APP运营推广策划方案,http://www.woshipm.com/operate/510962.html,27.1万                992                    216,2016/12/14
http://www.woshipm.com/topic/app,439,23,分析这24个App的重要指标，是对精细化运营的践行,http://www.woshipm.com/it/494159.html,4万                256                    34,2016/12/08
http://www.woshipm.com/topic/app,439,23,App运营构建用户兴趣模型的宗旨：让用户对活动有求而应,http://www.woshipm.com/operate/443459.html,2.4万                113                    17,2016/11/11
http://www.woshipm.com/topic/app,439,23,探究App推广之路：流量思维永不死,http://www.woshipm.com/operate/435210.html,2.4万                130                    28,2016/10/26
http://www.woshipm.com/topic/app,439,23,APP运营者进阶绕不开的几个问题,http://www.woshipm.com/operate/357275.html,1.5万                156                    13,2016/06/16
http://www.woshipm.com/topic/app,439,23,用对推送，让你的APP运营变得“美味”！,http://www.woshipm.com/operate/331234.html,1.3万                102                    4,2016/05/04
http://www.woshipm.com/topic/app,439,23,一线产品运营笔记：25个海外APP推广方法,http://www.woshipm.com/operate/312694.html,3.2万                480                    35,2016/04/05
http://www.woshipm.com/topic/app,439,23,APP运营：产品要留住用户必走的这三步,http://www.woshipm.com/operate/308506.html,2.3万                196                    23,2016/03/29
http://www.woshipm.com/topic/app,439,23,你知道App推广神技“Deferred Deeplink”吗?,http://www.woshipm.com/operate/287961.html,5.1万                323                    19,2016/02/25
http://www.woshipm.com/topic/app,439,23,一份完整App运营推广计划方案,http://www.woshipm.com/it/287383.html,18.6万                1468                    119,2016/02/24
http://www.woshipm.com/topic/app,439,23,APP推广之巧用工具进行数据分析,http://www.woshipm.com/operate/275466.html,3.1万                378                    14,2016/01/27
http://www.woshipm.com/topic/app,439,23,移动APP运营人员必知的运营模式—AARRR模型,http://www.woshipm.com/operate/253762.html,7.8万                519                    38,2015/12/21
http://www.woshipm.com/topic/app,439,23,浅谈APP运营推广：该如何的精准投放广告？,http://www.woshipm.com/operate/245479.html,4.4万                261                    42,2015/12/04
http://www.woshipm.com/topic/app,439,23,提升用户活跃度、ARPU值是比拉新更重要的事,http://www.woshipm.com/operate/239695.html,6.3万                505                    44,2015/11/23
http://www.woshipm.com/topic/app,439,23,各大安卓应用市场联系人方式,http://www.woshipm.com/operate/226115.html,2.3万                227                    52,2015/10/28
